순위,이미지,제목,아티스트,앨범
62,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/484/273/82484273_1665067200754_1_140x140.JPG/dims/resize/Q_80,0",That's Hilarious,Charlie Puth,CHARLIE
63,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/443/459/82443459_1639718817315_1_140x140.JPG/dims/resize/Q_80,0",취중고백,김민석 (멜로망스),취중고백
64,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/684/144/83684144_1680242492859_1_140x140.JPG/dims/resize/Q_80,0",사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
65,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/814/458/82814458_1657270030475_1_140x140.JPG/dims/resize/Q_80,0",그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
66,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/545/399/81545399_1600401677905_1_140x140.JPG/dims/resize/Q_80,0",Dynamite,방탄소년단,Dynamite (DayTime Ver.)
67,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/417/569/82417569_1638329272770_1_140x140.JPG/dims/resize/Q_80,0",ELEVEN,IVE (아이브),ELEVEN
68,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/073/238/83073238_1665772282151_1_140x140.JPG/dims/resize/Q_80,0",When I Get Old,Christopher & 청하,When I Get Old
69,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/798/875/82798875_1656663217923_1_140x140.JPG/dims/resize/Q_80,0",그라데이션,10CM,5.3
70,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/638/202/82638202_1655369481808_1_140x140.JPG/dims/resize/Q_80,0",The Drum,Alan Walker,"Walkerverse, Pt. I"
71,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/519/066/83519066_1675749482269_1_140x140.JPG/dims/resize/Q_80,0",파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
72,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/919/666/80919666_1486113823984_1_140x140.JPG/dims/resize/Q_80,0",예뻤어,DAY6 (데이식스),Every DAY6 February
73,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/912/188/82912188_1663300532914_1_140x140.JPG/dims/resize/Q_80,0",Shut Down,BLACKPINK,BORN PINK
74,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/902/576/83902576_1686288357417_1_140x140.JPG/dims/resize/Q_80,0",나에게 그대만이,탑현,나에게 그대만이
75,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/955/089/81955089_1616129121840_1_140x140.JPG/dims/resize/Q_80,0",Off My Face,Justin Bieber,Justice
76,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/031/556/81031556_1656957034547_1_140x140.JPG/dims/resize/Q_80,0",2002,Anne-Marie,Speak Your Mind (Deluxe)
77,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/196/201/83196201_1671520555194_1_140x140.JPG/dims/resize/Q_80,0",Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack) (Feat. FIFA Sound),정국 & 방탄소년단,Dreamers (Music from the FIFA World Cup Qatar 2022 Official Soundtrack)
78,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/807/543/83807543_1683600166370_1_140x140.JPG/dims/resize/Q_80,0",잠깐 시간 될까,이무진,잠깐 시간 될까
79,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/983/095/82983095_1666323297427_1_140x140.JPG/dims/resize/Q_80,0",Monologue,테이 (Tei),Monologue
80,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/941/007/82941007_1662445894361_1_140x140.JPG/dims/resize/Q_80,0",새삥 (Prod. by ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
81,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/651/870/82651870_1650613662156_1_140x140.JPG/dims/resize/Q_80,0",나의 X에게,경서,나의 X에게
82,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/727/185/82727185_1654248208229_1_140x140.JPG/dims/resize/Q_80,0",해요 (2022),#안녕,해요 (2022)
83,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/773/897/83773897_1682646768706_1_140x140.JPG/dims/resize/Q_80,0",물론,허각,물론
84,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/860/567/83860567_1685068731693_1_140x140.JPG/dims/resize/Q_80,0",첫 키스에 내 심장은 120BPM,경서,ONGOING
85,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/044/844/82044844_1651133261932_1_140x140.JPG/dims/resize/Q_80,0",Loving You Girl (Feat. Hkeem),Peder Elias,Love & Loneliness
86,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/912/188/82912188_1663300532914_1_140x140.JPG/dims/resize/Q_80,0",Pink Venom,BLACKPINK,BORN PINK
87,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/193/518/84193518_1693904065753_1_140x140.JPG/dims/resize/Q_80,0",트월ㅋ (Prod. by Czaer),미연 ((여자)아이들) & 우기 ((여자)아이들),스트릿 우먼 파이터2 (SWF2) 계급미션
88,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/172/540/84172540_1692334976181_1_140x140.JPG/dims/resize/Q_80,0",미친 사랑의 노래,김연지 & DK (디셈버),미친 사랑의 노래
89,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/393/286/82393286_1637039913011_1_140x140.JPG/dims/resize/Q_80,0",오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY'
90,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/052/685/82052685_1621395929780_1_140x140.JPG/dims/resize/Q_80,0",Every Second,Mina Okabe,Every Second
91,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/055/361/82055361_1621563082144_1_140x140.JPG/dims/resize/Q_80,0",Butter,방탄소년단,Butter
92,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/015/027/331/15027331_1464600209946_1_140x140.JPG/dims/resize/Q_80,0",희재,성시경,국화꽃 향기 OST
93,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/072/254/83072254_1665976983718_1_140x140.JPG/dims/resize/Q_80,0",Nxde,(여자)아이들,I love
94,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/602/752/82602752_1648117827255_1_140x140.JPG/dims/resize/Q_80,0",내가 아니라도,주호,내가 아니라도
95,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/327/370/83327370_1671527785845_1_140x140.JPG/dims/resize/Q_80,0",Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04)
96,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/044/453/81044453_1521524523818_1_140x140.JPG/dims/resize/Q_80,0","모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
97,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/571/396/83571396_1677134962111_1_140x140.JPG/dims/resize/Q_80,0",Cupid,FIFTY FIFTY,The Beginning : Cupid
98,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/019/740/84019740_1688692234715_1_140x140.JPG/dims/resize/Q_80,0",Cool With You,NewJeans,NewJeans 2nd EP 'Get Up'
99,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/039/945/84039945_1689213634156_1_140x140.JPG/dims/resize/Q_80,0",I WANT,IVE (아이브),I WANT
100,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/921/195/80921195_1486716752321_1_140x140.JPG/dims/resize/Q_80,0",봄날,방탄소년단,YOU NEVER WALK ALONE
101,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/903/050/83903050_1686279583411_1_140x140.JPG/dims/resize/Q_80,0",사랑의 바보,제이세라 (J-Cera),사랑의 바보
102,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/126/712/82126712_1625554274209_1_140x140.JPG/dims/resize/Q_80,0",Weekend,태연 (TAEYEON),Weekend
103,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/244/101/81244101_1563174738943_1_140x140.JPG/dims/resize/Q_80,0",한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
104,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/727/409/83727409_1681346323239_1_140x140.JPG/dims/resize/Q_80,0",빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
105,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/045/022/82045022_1620896061233_1_140x140.JPG/dims/resize/Q_80,0",신호등,이무진,신호등
106,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/547/302/83547302_1676521029077_1_140x140.JPG/dims/resize/Q_80,0",CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1
107,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/529/386/82529386_1644820151763_1_140x140.JPG/dims/resize/Q_80,0",INVU,태연 (TAEYEON),INVU - The 3rd Album
108,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/951/521/80951521_1496128690403_1_140x140.JPG/dims/resize/Q_80,0",민들레 (single ver.),우효,민들레
109,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/002/500/83002500_1663912084716_1_140x140.JPG/dims/resize/Q_80,0",그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
110,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/731/300/81731300_1613455604854_1_140x140.JPG/dims/resize/Q_80,0",밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020)
111,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/842/800/82842800_1659340238924_1_140x140.JPG/dims/resize/Q_80,0",Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
112,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/055/400/84055400_1689572432655_1_140x140.JPG/dims/resize/Q_80,0",여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL),Golden Hourglass
113,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/669/125/82669125_1651458341829_1_140x140.JPG/dims/resize/Q_80,0",FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
114,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/189/350/84189350_1694335668483_1_140x140.JPG/dims/resize/Q_80,0",Happiness,허용별 (허각 & 신용재 & 임한별),허용별 프로젝트 #1
115,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/881/061/83881061_1685688114722_1_140x140.JPG/dims/resize/Q_80,0",사실말야내가말야그게그러니까말이야,케이시 (Kassy),사실말야내가말야그게그러니까말이야
116,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/631/622/82631622_1649731154266_1_140x140.JPG/dims/resize/Q_80,0",LOVE me,BE'O (비오),LOVE me
117,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/645/633/82645633_1650352944627_1_140x140.JPG/dims/resize/Q_80,0",정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
118,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/908/447/82908447_1660714837418_1_140x140.JPG/dims/resize/Q_80,0",NIGHT DANCER,imase,NIGHT DANCER
119,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/110/115/82110115_1654161923419_1_140x140.JPG/dims/resize/Q_80,0",Bad Habits,Ed Sheeran,=
120,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/222/277/81222277_1559886717282_1_140x140.JPG/dims/resize/Q_80,0",오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
121,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/260/027/81260027_1566538606488_1_140x140.JPG/dims/resize/Q_80,0",흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
122,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/272/219/84272219_1694764275727_1_140x140.JPG/dims/resize/Q_80,0",그냥 그렇게 됐어,지아 (Zia),그냥 그렇게 됐어
123,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/574/618/83574618_1677205061184_1_140x140.JPG/dims/resize/Q_80,0",사랑하기 싫어,지아 (Zia),사랑하기 싫어
124,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/814/458/82814458_1657270030475_1_140x140.JPG/dims/resize/Q_80,0",보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
125,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/030/172/83030172_1664517404926_1_140x140.JPG/dims/resize/Q_80,0",나의 목소리로,김호중,나의 목소리로
126,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/110/804/82110804_1624611382361_1_140x140.JPG/dims/resize/Q_80,0",바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
127,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/624/911/82624911_1649062753955_1_140x140.JPG/dims/resize/Q_80,0",봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
128,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/311/242/83311242_1671174043157_1_140x140.JPG/dims/resize/Q_80,0",NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
129,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/456/811/83456811_1674613325236_1_140x140.JPG/dims/resize/Q_80,0",당신을 만나,김호중 & 송가인,당신을 만나
130,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/049/997/82049997_1621238537359_1_140x140.JPG/dims/resize/Q_80,0",Next Level,aespa,Next Level
131,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/763/087/83763087_1682327859933_1_140x140.JPG/dims/resize/Q_80,0",Heaven (2023),임재현,시작은 첫키스 OST Part.1
132,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/479/869/81479869_1592554370128_1_140x140.JPG/dims/resize/Q_80,0",OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
133,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/051/809/81051809_1588127109810_1_140x140.JPG/dims/resize/Q_80,0",Bad,Christopher,Under the Surface
